INFO - main.py - 2022-09-04 15:50:50,082 - Using device:cuda
INFO - main.py - 2022-09-04 15:50:50,086 - Writing log file to algorithms/A2C_GAE/logs
INFO - main.py - 2022-09-04 15:50:50,086 - Exp instance id = 8919
INFO - main.py - 2022-09-04 15:50:50,087 - Exp comment = 
INFO - main.py - 2022-09-04 15:50:53,408 - Start Training! Env: CartPole-v0, Algorithm: A2C_GAE
INFO - main.py - 2022-09-04 15:51:09,851 - episode: 102, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:09,934 - episode: 103, steps: 43, reward: 43.0
INFO - main.py - 2022-09-04 15:51:09,985 - episode: 104, steps: 18, reward: 18.0
INFO - main.py - 2022-09-04 15:51:10,029 - episode: 105, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:10,075 - episode: 106, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:10,132 - episode: 107, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 15:51:10,205 - episode: 108, steps: 36, reward: 36.0
INFO - main.py - 2022-09-04 15:51:10,254 - episode: 109, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 15:51:10,336 - episode: 110, steps: 42, reward: 42.0
INFO - main.py - 2022-09-04 15:51:10,378 - episode: 111, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:10,452 - episode: 112, steps: 37, reward: 37.0
INFO - main.py - 2022-09-04 15:51:10,532 - episode: 113, steps: 40, reward: 40.0
INFO - main.py - 2022-09-04 15:51:10,584 - episode: 114, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 15:51:10,633 - episode: 115, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 15:51:10,675 - episode: 116, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:10,711 - episode: 117, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:10,756 - episode: 118, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:10,791 - episode: 119, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:10,826 - episode: 120, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:10,863 - episode: 121, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:10,904 - episode: 122, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:10,948 - episode: 123, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:10,996 - episode: 124, steps: 17, reward: 17.0
INFO - main.py - 2022-09-04 15:51:11,050 - episode: 125, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 15:51:11,094 - episode: 126, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:11,152 - episode: 127, steps: 24, reward: 24.0
INFO - main.py - 2022-09-04 15:51:11,195 - episode: 128, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:11,239 - episode: 129, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:11,281 - episode: 130, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:11,319 - episode: 131, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:11,372 - episode: 132, steps: 20, reward: 20.0
INFO - main.py - 2022-09-04 15:51:11,413 - episode: 133, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:11,458 - episode: 134, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:11,505 - episode: 135, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 15:51:11,549 - episode: 136, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:11,626 - episode: 137, steps: 38, reward: 38.0
INFO - main.py - 2022-09-04 15:51:11,671 - episode: 138, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:11,713 - episode: 139, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:11,758 - episode: 140, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:11,793 - episode: 141, steps: 9, reward: 9.0
INFO - main.py - 2022-09-04 15:51:11,836 - episode: 142, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:11,889 - episode: 143, steps: 21, reward: 21.0
INFO - main.py - 2022-09-04 15:51:11,951 - episode: 144, steps: 25, reward: 25.0
INFO - main.py - 2022-09-04 15:51:11,994 - episode: 145, steps: 13, reward: 13.0
INFO - main.py - 2022-09-04 15:51:12,030 - episode: 146, steps: 8, reward: 8.0
INFO - main.py - 2022-09-04 15:51:12,076 - episode: 147, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:12,116 - episode: 148, steps: 10, reward: 10.0
INFO - main.py - 2022-09-04 15:51:12,158 - episode: 149, steps: 12, reward: 12.0
INFO - main.py - 2022-09-04 15:51:12,200 - episode: 150, steps: 11, reward: 11.0
INFO - main.py - 2022-09-04 15:51:12,248 - episode: 151, steps: 16, reward: 16.0
INFO - main.py - 2022-09-04 15:51:12,293 - episode: 152, steps: 14, reward: 14.0
INFO - main.py - 2022-09-04 15:51:12,333 - episode: 153, steps: 10, reward: 10.0
