INFO - main.py - 2022-08-27 12:08:37,878 - Using device:cuda
INFO - main.py - 2022-08-27 12:08:37,880 - Writing log file to algorithms/QLearning/logs
INFO - main.py - 2022-08-27 12:08:37,880 - Exp instance id = 17274
INFO - main.py - 2022-08-27 12:08:37,881 - Exp comment = 
INFO - main.py - 2022-08-27 12:08:38,008 - Start Training! Env: CliffWalking-v0, Algorithm: QLearning
INFO - main.py - 2022-08-27 12:08:38,761 - episode: 168, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,763 - episode: 169, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,765 - episode: 170, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,769 - episode: 171, steps: 45, reward: -144
INFO - main.py - 2022-08-27 12:08:38,772 - episode: 172, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:08:38,774 - episode: 173, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,777 - episode: 174, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,779 - episode: 175, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:08:38,781 - episode: 176, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:08:38,784 - episode: 177, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:08:38,787 - episode: 178, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,789 - episode: 179, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:38,792 - episode: 180, steps: 31, reward: -31
INFO - main.py - 2022-08-27 12:08:38,794 - episode: 181, steps: 33, reward: -33
INFO - main.py - 2022-08-27 12:08:38,797 - episode: 182, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,800 - episode: 183, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:38,802 - episode: 184, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,804 - episode: 185, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:38,807 - episode: 186, steps: 28, reward: -28
INFO - main.py - 2022-08-27 12:08:38,809 - episode: 187, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:08:38,811 - episode: 188, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,814 - episode: 189, steps: 28, reward: -28
INFO - main.py - 2022-08-27 12:08:38,815 - episode: 190, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,818 - episode: 191, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:08:38,821 - episode: 192, steps: 37, reward: -37
INFO - main.py - 2022-08-27 12:08:38,823 - episode: 193, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:08:38,826 - episode: 194, steps: 28, reward: -28
INFO - main.py - 2022-08-27 12:08:38,828 - episode: 195, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:08:38,830 - episode: 196, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,832 - episode: 197, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:08:38,834 - episode: 198, steps: 32, reward: -32
INFO - main.py - 2022-08-27 12:08:38,837 - episode: 199, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:08:38,840 - episode: 200, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:08:38,842 - episode: 201, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:08:38,844 - episode: 202, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:08:38,846 - episode: 203, steps: 30, reward: -30
INFO - main.py - 2022-08-27 12:08:38,849 - episode: 204, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:38,851 - episode: 205, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:38,853 - episode: 206, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:08:38,855 - episode: 207, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:08:38,857 - episode: 208, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:08:38,860 - episode: 209, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:08:38,862 - episode: 210, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:08:38,864 - episode: 211, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:08:38,866 - episode: 212, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:08:38,868 - episode: 213, steps: 14, reward: -14
INFO - main.py - 2022-08-27 12:08:38,870 - episode: 214, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:08:38,872 - episode: 215, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:08:38,874 - episode: 216, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:08:38,877 - episode: 217, steps: 35, reward: -134
