INFO - main.py - 2022-08-27 12:10:42,263 - episode: 150, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,265 - episode: 151, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:10:42,268 - episode: 152, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:10:42,270 - episode: 153, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:10:42,273 - episode: 154, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:10:42,277 - episode: 155, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:10:42,281 - episode: 156, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:10:42,284 - episode: 157, steps: 31, reward: -31
INFO - main.py - 2022-08-27 12:10:42,288 - episode: 158, steps: 39, reward: -39
INFO - main.py - 2022-08-27 12:10:42,290 - episode: 159, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,292 - episode: 160, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,294 - episode: 161, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,296 - episode: 162, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:10:42,298 - episode: 163, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:10:42,300 - episode: 164, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:10:42,301 - episode: 165, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,303 - episode: 166, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,306 - episode: 167, steps: 30, reward: -30
INFO - main.py - 2022-08-27 12:10:42,309 - episode: 168, steps: 32, reward: -32
INFO - main.py - 2022-08-27 12:10:42,311 - episode: 169, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:10:42,313 - episode: 170, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,315 - episode: 171, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:10:42,317 - episode: 172, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:10:42,319 - episode: 173, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:10:42,322 - episode: 174, steps: 28, reward: -28
INFO - main.py - 2022-08-27 12:10:42,324 - episode: 175, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:10:42,326 - episode: 176, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,328 - episode: 177, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:10:42,331 - episode: 178, steps: 29, reward: -29
INFO - main.py - 2022-08-27 12:10:42,333 - episode: 179, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:10:42,335 - episode: 180, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:10:42,337 - episode: 181, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:10:42,340 - episode: 182, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:10:42,342 - episode: 183, steps: 26, reward: -26
INFO - main.py - 2022-08-27 12:10:42,344 - episode: 184, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:10:42,347 - episode: 185, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,349 - episode: 186, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,351 - episode: 187, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:10:42,353 - episode: 188, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:10:42,355 - episode: 189, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,358 - episode: 190, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,360 - episode: 191, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,363 - episode: 192, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:10:42,365 - episode: 193, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,368 - episode: 194, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:10:42,370 - episode: 195, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,372 - episode: 196, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,375 - episode: 197, steps: 29, reward: -29
INFO - main.py - 2022-08-27 12:10:42,377 - episode: 198, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,379 - episode: 199, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,381 - episode: 200, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,383 - episode: 201, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,385 - episode: 202, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,387 - episode: 203, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,389 - episode: 204, steps: 25, reward: -25
INFO - main.py - 2022-08-27 12:10:42,391 - episode: 205, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:10:42,394 - episode: 206, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:10:42,396 - episode: 207, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:10:42,399 - episode: 208, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,401 - episode: 209, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,403 - episode: 210, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,405 - episode: 211, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:10:42,407 - episode: 212, steps: 22, reward: -22
INFO - main.py - 2022-08-27 12:10:42,409 - episode: 213, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,411 - episode: 214, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,414 - episode: 215, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:10:42,416 - episode: 216, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,418 - episode: 217, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,421 - episode: 218, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,423 - episode: 219, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,425 - episode: 220, steps: 24, reward: -24
INFO - main.py - 2022-08-27 12:10:42,427 - episode: 221, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,429 - episode: 222, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,431 - episode: 223, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,433 - episode: 224, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,434 - episode: 225, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,437 - episode: 226, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,438 - episode: 227, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:10:42,441 - episode: 228, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,443 - episode: 229, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,446 - episode: 230, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:10:42,447 - episode: 231, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,449 - episode: 232, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,452 - episode: 233, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,454 - episode: 234, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,455 - episode: 235, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,458 - episode: 236, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,461 - episode: 237, steps: 29, reward: -29
INFO - main.py - 2022-08-27 12:10:42,463 - episode: 238, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,466 - episode: 239, steps: 18, reward: -18
INFO - main.py - 2022-08-27 12:10:42,468 - episode: 240, steps: 16, reward: -16
INFO - main.py - 2022-08-27 12:10:42,470 - episode: 241, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,471 - episode: 242, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,474 - episode: 243, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,475 - episode: 244, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,478 - episode: 245, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,479 - episode: 246, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,481 - episode: 247, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,484 - episode: 248, steps: 38, reward: -137
INFO - main.py - 2022-08-27 12:10:42,486 - episode: 249, steps: 18, reward: -117
INFO - main.py - 2022-08-27 12:10:42,488 - episode: 250, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,490 - episode: 251, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,492 - episode: 252, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,494 - episode: 253, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,496 - episode: 254, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,498 - episode: 255, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,500 - episode: 256, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,501 - episode: 257, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,503 - episode: 258, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,505 - episode: 259, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,507 - episode: 260, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,508 - episode: 261, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,510 - episode: 262, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,512 - episode: 263, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,514 - episode: 264, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,517 - episode: 265, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,519 - episode: 266, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,521 - episode: 267, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,523 - episode: 268, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,525 - episode: 269, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,526 - episode: 270, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,528 - episode: 271, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,530 - episode: 272, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,533 - episode: 273, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,535 - episode: 274, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,537 - episode: 275, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,539 - episode: 276, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,542 - episode: 277, steps: 30, reward: -228
INFO - main.py - 2022-08-27 12:10:42,543 - episode: 278, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,545 - episode: 279, steps: 23, reward: -23
INFO - main.py - 2022-08-27 12:10:42,548 - episode: 280, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,550 - episode: 281, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,551 - episode: 282, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,553 - episode: 283, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,555 - episode: 284, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,557 - episode: 285, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,559 - episode: 286, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,560 - episode: 287, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,563 - episode: 288, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,564 - episode: 289, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,566 - episode: 290, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,568 - episode: 291, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,569 - episode: 292, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,571 - episode: 293, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,573 - episode: 294, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,575 - episode: 295, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,577 - episode: 296, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,579 - episode: 297, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,580 - episode: 298, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,582 - episode: 299, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,584 - episode: 300, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,586 - episode: 301, steps: 21, reward: -21
INFO - main.py - 2022-08-27 12:10:42,589 - episode: 302, steps: 27, reward: -27
INFO - main.py - 2022-08-27 12:10:42,590 - episode: 303, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,592 - episode: 304, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,594 - episode: 305, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,596 - episode: 306, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,602 - episode: 307, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,606 - episode: 308, steps: 27, reward: -126
INFO - main.py - 2022-08-27 12:10:42,608 - episode: 309, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,611 - episode: 310, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,613 - episode: 311, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,616 - episode: 312, steps: 20, reward: -20
INFO - main.py - 2022-08-27 12:10:42,618 - episode: 313, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,620 - episode: 314, steps: 19, reward: -19
INFO - main.py - 2022-08-27 12:10:42,622 - episode: 315, steps: 15, reward: -15
INFO - main.py - 2022-08-27 12:10:42,625 - episode: 316, steps: 17, reward: -17
INFO - main.py - 2022-08-27 12:10:42,627 - episode: 317, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,629 - episode: 318, steps: 13, reward: -13
INFO - main.py - 2022-08-27 12:10:42,631 - episode: 319, steps: 19, reward: -19
