INFO - main.py - 2022-09-04 10:41:40,548 - Using device:cuda
INFO - main.py - 2022-09-04 10:41:40,550 - Writing log file to algorithms/A2C/logs
INFO - main.py - 2022-09-04 10:41:40,551 - Exp instance id = 30262
INFO - main.py - 2022-09-04 10:41:40,551 - Exp comment = 
INFO - main.py - 2022-09-04 10:41:44,169 - Start Training! Env: CartPole-v0, Algorithm: A2C
INFO - main.py - 2022-09-04 10:42:06,079 - episode: 171, steps: 80, reward: 80.0
INFO - main.py - 2022-09-04 10:42:06,139 - episode: 172, steps: 23, reward: 23.0
INFO - main.py - 2022-09-04 10:42:06,209 - episode: 173, steps: 27, reward: 27.0
INFO - main.py - 2022-09-04 10:42:06,317 - episode: 174, steps: 60, reward: 60.0
INFO - main.py - 2022-09-04 10:42:06,415 - episode: 175, steps: 51, reward: 51.0
INFO - main.py - 2022-09-04 10:42:06,490 - episode: 176, steps: 32, reward: 32.0
INFO - main.py - 2022-09-04 10:42:06,608 - episode: 177, steps: 67, reward: 67.0
INFO - main.py - 2022-09-04 10:42:06,708 - episode: 178, steps: 53, reward: 53.0
INFO - main.py - 2022-09-04 10:42:06,864 - episode: 179, steps: 89, reward: 89.0
INFO - main.py - 2022-09-04 10:42:06,939 - episode: 180, steps: 34, reward: 34.0
INFO - main.py - 2022-09-04 10:42:07,002 - episode: 181, steps: 26, reward: 26.0
INFO - main.py - 2022-09-04 10:42:07,078 - episode: 182, steps: 35, reward: 35.0
INFO - main.py - 2022-09-04 10:42:07,192 - episode: 183, steps: 62, reward: 62.0
INFO - main.py - 2022-09-04 10:42:07,298 - episode: 184, steps: 54, reward: 54.0
INFO - main.py - 2022-09-04 10:42:07,476 - episode: 185, steps: 111, reward: 111.0
INFO - main.py - 2022-09-04 10:42:07,571 - episode: 186, steps: 47, reward: 47.0
INFO - main.py - 2022-09-04 10:42:07,685 - episode: 187, steps: 62, reward: 62.0
INFO - main.py - 2022-09-04 10:42:07,785 - episode: 188, steps: 50, reward: 50.0
INFO - main.py - 2022-09-04 10:42:07,858 - episode: 189, steps: 33, reward: 33.0
INFO - main.py - 2022-09-04 10:42:07,935 - episode: 190, steps: 37, reward: 37.0
INFO - main.py - 2022-09-04 10:42:08,043 - episode: 191, steps: 59, reward: 59.0
INFO - main.py - 2022-09-04 10:42:08,131 - episode: 192, steps: 44, reward: 44.0
INFO - main.py - 2022-09-04 10:42:08,179 - episode: 193, steps: 15, reward: 15.0
INFO - main.py - 2022-09-04 10:42:08,276 - episode: 194, steps: 51, reward: 51.0
INFO - main.py - 2022-09-04 10:42:08,437 - episode: 195, steps: 98, reward: 98.0
INFO - main.py - 2022-09-04 10:42:08,519 - episode: 196, steps: 40, reward: 40.0
INFO - main.py - 2022-09-04 10:42:08,602 - episode: 197, steps: 40, reward: 40.0
INFO - main.py - 2022-09-04 10:42:08,680 - episode: 198, steps: 37, reward: 37.0
INFO - main.py - 2022-09-04 10:42:08,740 - episode: 199, steps: 24, reward: 24.0
INFO - main.py - 2022-09-04 10:42:08,826 - episode: 200, steps: 43, reward: 43.0
INFO - main.py - 2022-09-04 10:42:08,936 - episode: 201, steps: 61, reward: 61.0
INFO - main.py - 2022-09-04 10:42:09,037 - episode: 202, steps: 54, reward: 54.0
INFO - main.py - 2022-09-04 10:42:09,183 - episode: 203, steps: 88, reward: 88.0
INFO - main.py - 2022-09-04 10:42:09,260 - episode: 204, steps: 35, reward: 35.0
INFO - main.py - 2022-09-04 10:42:09,345 - episode: 205, steps: 43, reward: 43.0
INFO - main.py - 2022-09-04 10:42:09,414 - episode: 206, steps: 29, reward: 29.0
INFO - main.py - 2022-09-04 10:42:09,489 - episode: 207, steps: 36, reward: 36.0
INFO - main.py - 2022-09-04 10:42:09,584 - episode: 208, steps: 49, reward: 49.0
INFO - main.py - 2022-09-04 10:42:09,684 - episode: 209, steps: 54, reward: 54.0
INFO - main.py - 2022-09-04 10:42:09,889 - episode: 210, steps: 133, reward: 133.0
INFO - main.py - 2022-09-04 10:42:10,000 - episode: 211, steps: 61, reward: 61.0
INFO - main.py - 2022-09-04 10:42:10,163 - episode: 212, steps: 97, reward: 97.0
INFO - main.py - 2022-09-04 10:42:10,222 - episode: 213, steps: 22, reward: 22.0
INFO - main.py - 2022-09-04 10:42:10,297 - episode: 214, steps: 36, reward: 36.0
INFO - main.py - 2022-09-04 10:42:10,386 - episode: 215, steps: 45, reward: 45.0
INFO - main.py - 2022-09-04 10:42:10,507 - episode: 216, steps: 69, reward: 69.0
INFO - main.py - 2022-09-04 10:42:10,606 - episode: 217, steps: 52, reward: 52.0
INFO - main.py - 2022-09-04 10:42:10,708 - episode: 218, steps: 56, reward: 56.0
INFO - main.py - 2022-09-04 10:42:10,825 - episode: 219, steps: 66, reward: 66.0
INFO - main.py - 2022-09-04 10:42:10,923 - episode: 220, steps: 51, reward: 51.0
INFO - main.py - 2022-09-04 10:42:11,032 - episode: 221, steps: 60, reward: 60.0
INFO - main.py - 2022-09-04 10:42:11,102 - episode: 222, steps: 31, reward: 31.0
INFO - main.py - 2022-09-04 10:42:11,200 - episode: 223, steps: 50, reward: 50.0
INFO - main.py - 2022-09-04 10:42:11,293 - episode: 224, steps: 48, reward: 48.0
INFO - main.py - 2022-09-04 10:42:11,438 - episode: 225, steps: 88, reward: 88.0
INFO - main.py - 2022-09-04 10:42:11,520 - episode: 226, steps: 40, reward: 40.0
INFO - main.py - 2022-09-04 10:42:11,607 - episode: 227, steps: 44, reward: 44.0
INFO - main.py - 2022-09-04 10:42:11,660 - episode: 228, steps: 19, reward: 19.0
INFO - main.py - 2022-09-04 10:42:11,787 - episode: 229, steps: 74, reward: 74.0
INFO - main.py - 2022-09-04 10:42:11,872 - episode: 230, steps: 42, reward: 42.0
INFO - main.py - 2022-09-04 10:42:11,984 - episode: 231, steps: 63, reward: 63.0
INFO - main.py - 2022-09-04 10:42:12,110 - episode: 232, steps: 72, reward: 72.0
INFO - main.py - 2022-09-04 10:42:12,194 - episode: 233, steps: 41, reward: 41.0
INFO - main.py - 2022-09-04 10:42:12,328 - episode: 234, steps: 80, reward: 80.0
INFO - main.py - 2022-09-04 10:42:12,423 - episode: 235, steps: 49, reward: 49.0
INFO - main.py - 2022-09-04 10:42:12,547 - episode: 236, steps: 72, reward: 72.0
INFO - main.py - 2022-09-04 10:42:12,613 - episode: 237, steps: 27, reward: 27.0
INFO - main.py - 2022-09-04 10:42:12,739 - episode: 238, steps: 73, reward: 73.0
