INFO - main.py - 2022-09-02 02:35:04,690 - Using device:cuda
INFO - main.py - 2022-09-02 02:35:04,692 - Writing log file to algorithms/BaselineReinforce/logs
INFO - main.py - 2022-09-02 02:35:04,692 - Exp instance id = 27627
INFO - main.py - 2022-09-02 02:35:04,692 - Exp comment = 
INFO - main.py - 2022-09-02 02:35:08,797 - Start Training! Env: CartPole-v0, Algorithm: BaselineReinforce
INFO - main.py - 2022-09-02 02:35:27,902 - episode: 99, steps: 49, reward: 49.0
INFO - main.py - 2022-09-02 02:35:28,063 - episode: 100, steps: 87, reward: 87.0
INFO - main.py - 2022-09-02 02:35:28,164 - episode: 101, steps: 47, reward: 47.0
INFO - main.py - 2022-09-02 02:35:28,289 - episode: 102, steps: 64, reward: 64.0
INFO - main.py - 2022-09-02 02:35:28,422 - episode: 103, steps: 72, reward: 72.0
INFO - main.py - 2022-09-02 02:35:28,505 - episode: 104, steps: 37, reward: 37.0
INFO - main.py - 2022-09-02 02:35:28,579 - episode: 105, steps: 27, reward: 27.0
INFO - main.py - 2022-09-02 02:35:28,653 - episode: 106, steps: 30, reward: 30.0
INFO - main.py - 2022-09-02 02:35:28,733 - episode: 107, steps: 34, reward: 34.0
INFO - main.py - 2022-09-02 02:35:28,842 - episode: 108, steps: 53, reward: 53.0
INFO - main.py - 2022-09-02 02:35:28,951 - episode: 109, steps: 56, reward: 56.0
INFO - main.py - 2022-09-02 02:35:29,026 - episode: 110, steps: 32, reward: 32.0
INFO - main.py - 2022-09-02 02:35:29,118 - episode: 111, steps: 43, reward: 43.0
INFO - main.py - 2022-09-02 02:35:29,196 - episode: 112, steps: 30, reward: 30.0
INFO - main.py - 2022-09-02 02:35:29,267 - episode: 113, steps: 30, reward: 30.0
INFO - main.py - 2022-09-02 02:35:29,390 - episode: 114, steps: 63, reward: 63.0
INFO - main.py - 2022-09-02 02:35:29,461 - episode: 115, steps: 29, reward: 29.0
INFO - main.py - 2022-09-02 02:35:29,586 - episode: 116, steps: 66, reward: 66.0
