INFO - main.py - 2022-08-29 10:41:55,076 - Using device:cuda
INFO - main.py - 2022-08-29 10:41:55,077 - Writing log file to algorithms/DQN/logs
INFO - main.py - 2022-08-29 10:41:55,118 - Exp instance id = 41593
INFO - main.py - 2022-08-29 10:41:55,118 - Exp comment = 
INFO - main.py - 2022-08-29 10:41:58,680 - Start Training! Env: CartPole-v0, Algorithm: DQN
INFO - main.py - 2022-08-29 10:44:18,564 - episode: 90, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:22,368 - episode: 91, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:26,141 - episode: 92, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:29,861 - episode: 93, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:33,553 - episode: 94, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:37,270 - episode: 95, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:40,946 - episode: 96, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:44,628 - episode: 97, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:48,279 - episode: 98, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:52,002 - episode: 99, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:55,635 - episode: 100, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:44:59,287 - episode: 101, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:02,960 - episode: 102, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:06,652 - episode: 103, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:10,307 - episode: 104, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:14,010 - episode: 105, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:17,663 - episode: 106, steps: 198, reward: 198.0
INFO - main.py - 2022-08-29 10:45:21,321 - episode: 107, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:24,931 - episode: 108, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:28,613 - episode: 109, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:32,311 - episode: 110, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:36,000 - episode: 111, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:39,682 - episode: 112, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:43,343 - episode: 113, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:47,022 - episode: 114, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:50,735 - episode: 115, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:54,399 - episode: 116, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:45:58,023 - episode: 117, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:01,687 - episode: 118, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:05,384 - episode: 119, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:09,056 - episode: 120, steps: 199, reward: 199.0
INFO - main.py - 2022-08-29 10:46:12,708 - episode: 121, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:16,452 - episode: 122, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:20,139 - episode: 123, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:23,821 - episode: 124, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:27,505 - episode: 125, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:31,207 - episode: 126, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:34,846 - episode: 127, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:38,503 - episode: 128, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:42,162 - episode: 129, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:45,836 - episode: 130, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:49,471 - episode: 131, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:53,160 - episode: 132, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:46:56,813 - episode: 133, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:00,409 - episode: 134, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:04,072 - episode: 135, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:07,738 - episode: 136, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:11,338 - episode: 137, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:15,054 - episode: 138, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:18,792 - episode: 139, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:22,513 - episode: 140, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:26,115 - episode: 141, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:29,777 - episode: 142, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:33,416 - episode: 143, steps: 200, reward: 200.0
INFO - main.py - 2022-08-29 10:47:37,041 - episode: 144, steps: 196, reward: 196.0
INFO - main.py - 2022-08-29 10:47:40,687 - episode: 145, steps: 200, reward: 200.0
