INFO - main.py - 2022-08-31 22:31:41,003 - Using device:cuda
INFO - main.py - 2022-08-31 22:31:41,025 - Writing log file to algorithms/ActorCritic/logs
INFO - main.py - 2022-08-31 22:31:41,026 - Exp instance id = 31858
INFO - main.py - 2022-08-31 22:31:41,026 - Exp comment = 
INFO - main.py - 2022-08-31 22:31:46,245 - Start Training! Env: CartPole-v0, Algorithm: ActorCritic
INFO - main.py - 2022-08-31 22:32:32,447 - episode: 120, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:32,627 - episode: 121, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:32,828 - episode: 122, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:33,048 - episode: 123, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:33,246 - episode: 124, steps: 8, reward: 8.0
INFO - main.py - 2022-08-31 22:32:33,710 - episode: 125, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:34,235 - episode: 126, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:34,660 - episode: 127, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:34,851 - episode: 128, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:35,038 - episode: 129, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:35,240 - episode: 130, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:35,452 - episode: 131, steps: 10, reward: 10.0
INFO - main.py - 2022-08-31 22:32:35,554 - episode: 132, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:35,857 - episode: 133, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:36,323 - episode: 134, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:36,790 - episode: 135, steps: 9, reward: 9.0
INFO - main.py - 2022-08-31 22:32:37,054 - episode: 136, steps: 8, reward: 8.0
