INFO - main.py - 2022-08-29 21:58:53,527 - Using device:cuda
INFO - main.py - 2022-08-29 21:58:53,527 - Writing log file to algorithms/Reinforce/logs
INFO - main.py - 2022-08-29 21:58:53,528 - Exp instance id = 1695
INFO - main.py - 2022-08-29 21:58:53,528 - Exp comment = 
INFO - main.py - 2022-08-29 21:58:57,264 - Start Training! Env: CartPole-v0, Algorithm: Reinforce
INFO - main.py - 2022-08-29 21:59:16,170 - episode: 101, steps: 32, reward: 32.0
INFO - main.py - 2022-08-29 21:59:16,242 - episode: 102, steps: 13, reward: 13.0
INFO - main.py - 2022-08-29 21:59:16,358 - episode: 103, steps: 35, reward: 35.0
INFO - main.py - 2022-08-29 21:59:16,392 - episode: 104, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:16,428 - episode: 105, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 21:59:16,504 - episode: 106, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:16,613 - episode: 107, steps: 37, reward: 37.0
INFO - main.py - 2022-08-29 21:59:16,764 - episode: 108, steps: 31, reward: 31.0
INFO - main.py - 2022-08-29 21:59:16,857 - episode: 109, steps: 10, reward: 10.0
INFO - main.py - 2022-08-29 21:59:16,977 - episode: 110, steps: 19, reward: 19.0
INFO - main.py - 2022-08-29 21:59:17,109 - episode: 111, steps: 23, reward: 23.0
INFO - main.py - 2022-08-29 21:59:17,206 - episode: 112, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:17,314 - episode: 113, steps: 21, reward: 21.0
INFO - main.py - 2022-08-29 21:59:17,394 - episode: 114, steps: 11, reward: 11.0
INFO - main.py - 2022-08-29 21:59:17,526 - episode: 115, steps: 26, reward: 26.0
INFO - main.py - 2022-08-29 21:59:17,614 - episode: 116, steps: 14, reward: 14.0
INFO - main.py - 2022-08-29 21:59:17,702 - episode: 117, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:17,806 - episode: 118, steps: 16, reward: 16.0
INFO - main.py - 2022-08-29 21:59:17,890 - episode: 119, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:17,990 - episode: 120, steps: 23, reward: 23.0
INFO - main.py - 2022-08-29 21:59:18,137 - episode: 121, steps: 33, reward: 33.0
INFO - main.py - 2022-08-29 21:59:18,310 - episode: 122, steps: 50, reward: 50.0
INFO - main.py - 2022-08-29 21:59:18,392 - episode: 123, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:18,426 - episode: 124, steps: 15, reward: 15.0
INFO - main.py - 2022-08-29 21:59:18,476 - episode: 125, steps: 26, reward: 26.0
INFO - main.py - 2022-08-29 21:59:18,513 - episode: 126, steps: 18, reward: 18.0
INFO - main.py - 2022-08-29 21:59:18,543 - episode: 127, steps: 12, reward: 12.0
INFO - main.py - 2022-08-29 21:59:18,577 - episode: 128, steps: 17, reward: 17.0
INFO - main.py - 2022-08-29 21:59:18,621 - episode: 129, steps: 25, reward: 25.0
INFO - main.py - 2022-08-29 21:59:18,660 - episode: 130, steps: 20, reward: 20.0
INFO - main.py - 2022-08-29 21:59:18,751 - episode: 131, steps: 63, reward: 63.0
INFO - main.py - 2022-08-29 21:59:18,781 - episode: 132, steps: 12, reward: 12.0
